INFO:root:Epoch 28: {'accuracy': 0.5534420013427734, 'loss': 1.0654579401016235, 'val_accuracy': 0.5243902206420898, 'val_loss': 1.0704010725021362}
INFO:root:Epoch 29: {'accuracy': 0.5552536249160767, 'loss': 1.063583493232727, 'val_accuracy': 0.5243902206420898, 'val_loss': 1.0728559494018555}
INFO:root:Epoch 30: {'accuracy': 0.5538949370384216, 'loss': 1.062268853187561, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.077222466468811}
INFO:root:Epoch 31: {'accuracy': 0.5566123127937317, 'loss': 1.062945008277893, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0731431245803833}
INFO:root:Epoch 32: {'accuracy': 0.5538949370384216, 'loss': 1.0657646656036377, 'val_accuracy': 0.5243902206420898, 'val_loss': 1.0761321783065796}
INFO:root:Epoch 33: {'accuracy': 0.5566123127937317, 'loss': 1.063272476196289, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0767055749893188}
INFO:root:Epoch 34: {'accuracy': 0.55298912525177, 'loss': 1.0620484352111816, 'val_accuracy': 0.5243902206420898, 'val_loss': 1.0757087469100952}
INFO:root:Epoch 35: {'accuracy': 0.5525362491607666, 'loss': 1.0624419450759888, 'val_accuracy': 0.5243902206420898, 'val_loss': 1.0756018161773682}
INFO:root:Epoch 36: {'accuracy': 0.5552536249160767, 'loss': 1.064154863357544, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0754077434539795}
INFO:root:Epoch 37: {'accuracy': 0.554347813129425, 'loss': 1.0631024837493896, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0732486248016357}
INFO:root:Epoch 38: {'accuracy': 0.5548007488250732, 'loss': 1.0604487657546997, 'val_accuracy': 0.5284552574157715, 'val_loss': 1.075406789779663}
INFO:root:Epoch 39: {'accuracy': 0.5484601259231567, 'loss': 1.0629080533981323, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0777621269226074}
INFO:root:Epoch 40: {'accuracy': 0.5534420013427734, 'loss': 1.061743974685669, 'val_accuracy': 0.5243902206420898, 'val_loss': 1.0765001773834229}
INFO:root:Epoch 41: {'accuracy': 0.5548007488250732, 'loss': 1.0616934299468994, 'val_accuracy': 0.5162601470947266, 'val_loss': 1.079573631286621}
INFO:root:Epoch 42: {'accuracy': 0.55298912525177, 'loss': 1.062978982925415, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0769338607788086}
INFO:root:Epoch 43: {'accuracy': 0.5538949370384216, 'loss': 1.0625438690185547, 'val_accuracy': 0.5243902206420898, 'val_loss': 1.0780125856399536}
INFO:root:Epoch 44: {'accuracy': 0.5552536249160767, 'loss': 1.0606861114501953, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0717265605926514}
INFO:root:Epoch 45: {'accuracy': 0.5561594367027283, 'loss': 1.0623130798339844, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0762289762496948}
INFO:root:Epoch 46: {'accuracy': 0.5480072498321533, 'loss': 1.0623115301132202, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0727814435958862}
INFO:root:Epoch 47: {'accuracy': 0.551630437374115, 'loss': 1.0614817142486572, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0767844915390015}
INFO:root:Epoch 48: {'accuracy': 0.5557065010070801, 'loss': 1.0600039958953857, 'val_accuracy': 0.5162601470947266, 'val_loss': 1.0785423517227173}
INFO:root:Epoch 49: {'accuracy': 0.554347813129425, 'loss': 1.0612252950668335, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0759197473526}
INFO:root:Epoch 50: {'accuracy': 0.5520833134651184, 'loss': 1.0592687129974365, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0763827562332153}
INFO:root:Epoch 51: {'accuracy': 0.5520833134651184, 'loss': 1.0592800378799438, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0768492221832275}
INFO:root:Epoch 52: {'accuracy': 0.5534420013427734, 'loss': 1.0600284337997437, 'val_accuracy': 0.5162601470947266, 'val_loss': 1.0807373523712158}
INFO:root:Epoch 53: {'accuracy': 0.5548007488250732, 'loss': 1.0596346855163574, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0791363716125488}
INFO:root:Epoch 54: {'accuracy': 0.5534420013427734, 'loss': 1.0595099925994873, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0799129009246826}
INFO:root:Epoch 55: {'accuracy': 0.5570651888847351, 'loss': 1.0595784187316895, 'val_accuracy': 0.5365853905677795, 'val_loss': 1.0899338722229004}
INFO:root:Epoch 56: {'accuracy': 0.5561594367027283, 'loss': 1.061405062675476, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0761364698410034}
